title,uploader,date,views,html_attr.html_elements.cards...a.href...bilibili.com.video......
山东话为啥不适合安慰人,我就是吴迪,· 2023-08-25,107.1万,//www.bilibili.com/video/BV1D14y117Gp/
爸爸妈妈带闺女路过八大局，一句话引网友们心酸＃淄博＃淄博八大局＃淄博烧烤,KEPT_NEW,· 2023-05-02,105.6万,//www.bilibili.com/video/BV1Vs4y1X75Y/
山东话有多简洁,我就是吴迪,· 01-30,105.1万,//www.bilibili.com/video/BV1LkFLe8ED5/
外国面孔青岛话，一张口“哈啤酒”就是内味！,山东卫视,· 2024-03-25,103.8万,//www.bilibili.com/video/BV1Hx4y1U7Hg/
【私家观察】你在食堂能最快淦到饭？,艺能人金广发,· 2021-04-10,102.9万,//www.bilibili.com/video/BV1pi4y1A7Sr/
四爷给美女老乡示范“地道山东话”,ximpoko童年你我他,· 2024-12-09,102.8万,//www.bilibili.com/video/BV1YNqNYvEbd/
泰山会制服每一个嘴硬的孩子，真是应了那句话！,南方祥宝,· 2024-04-27,102.6万,//www.bilibili.com/video/BV1v1421R7dU/
山东大爷造出高射炮，不出意外的话...,宜铭军事模型厂家,· 2024-08-16,102.5万,//www.bilibili.com/video/BV1hBege4Et8/
四川方言配音《文盲老师李二甩点名》，哈哈哈简直不能更搞笑了~[笑cry],沐羡笙,· 2016-11-06,101.9万,//www.bilibili.com/video/BV1Ms411x7kg/
12月27日（发布）山东，老公：为什么找媳妇找山东的呢？“ 看我媳妇 上得厅堂 下得厨房 ”结果老婆一张口。网友：果然山东话影响颜值！,江南都市报,· 2024-12-29,100.6万,//www.bilibili.com/video/BV1EW6bYHERm/
山东话可以有多简略,快乐源泉bot,· 2021-05-29,100.3万,//www.bilibili.com/video/BV1pq4y1j7Mf/
