title,uploader,date,views,html_attr.html_elements.cards...a.href...bilibili.com.video......
江苏女司机开车特意开窗，丈夫不解？妻子一句话让人哭笑不得,小象视频TV,· 2021-12-01,24.5万,//www.bilibili.com/video/BV1bb4y1B7W5/
河南人教广东人说普通话河北人在旁捣乱 天津人在一边哈哈大笑 福建人山东人和江苏人发来贺电 北京狗哥无辜躺枪,盗月社食遇记,· 2017-08-01,24.1万,//www.bilibili.com/video/BV1ux411s7P5/
【张极】上头！！！豆极这无缝切换的江苏话和重庆话,超级开心豆dou,· 2021-05-09,22.3万,//www.bilibili.com/video/BV1QK4y1w77H/
16岁女孩强行侵犯84岁大爷长达四年之久，一句话留下生性多疑的你！#江苏癫案#真实案件 #大案纪实 #真实案件改编 #我的观影报告,求知若渴谦虚若愚,· 2024-08-05,21.1万,//www.bilibili.com/video/BV1hT42167tm/
白鹿朱亚文节目互飙江苏话，众人听得一脸懵，中国最难懂江苏话,菲菲盘剧情,· 2022-07-18,17.7万,//www.bilibili.com/video/BV1GB4y1Y7JA/
江苏话十三市集合，江苏方言：南京话、无锡话、徐州话、常州话、苏州话、南通话、连云港话、淮安话、盐城话、扬州话、镇江话、泰州话、宿迁话包括宜兴话江阴话盱眙话东海话,砰砰机器,· 2019-07-07,16.7万,//www.bilibili.com/video/BV1mx411f7kS/
“江苏话”听起来什么样？（上）【中原官话 江淮官话 吴语】,杨智程official,· 2021-02-24,16.7万,//www.bilibili.com/video/BV1Wv411Y78v/
大家都是江苏的，为什么苏北的人听不懂苏南的话？,又懒又馋的小雨点,· 2022-12-13,16.3万,//www.bilibili.com/video/BV1284y1t7KU/
9月7日，江苏。儿子感叹同学们家里都好有钱，妈妈一席话让人称赞，比财富更重要的是有价值的自己,中国网直播,· 2023-09-11,16.3万,//www.bilibili.com/video/BV1bp4y1j7L5/
江苏一男子网贷不还，一句话气坏催收小姐姐,NBA狗都不看,· 2021-06-25,16万,//www.bilibili.com/video/BV17w411o7fK/
江苏卫视把“苏超”做成了抽象艺术：沈腾的话含金量还在上升,秀才侃娱乐,· 07-01,14.9万,//www.bilibili.com/video/BV1HFgXz8Eib/
教你一句话镇住全场并让嘲笑你和给你制造焦虑的人反思,有问必答的懂大姑,· 2023-10-18,14.7万,//www.bilibili.com/video/BV1j94y1b7mk/
江苏气象霸气放话朱一龙，大号不敢发，有什么资格说爱他！,NTciking,· 2018-09-16,14.6万,//www.bilibili.com/video/BV14W411k7WJ/
江淮官话，被认为是现存最接近明朝官话的方言，听感究竟如何？,趣方言,· 2022-08-21,14.6万,//www.bilibili.com/video/BV1La411d7qc/
全中国最难懂江苏话，南京话好酥难懂，苏州无锡话一句都听不懂！,君君播放室,· 2022-12-29,14.5万,//www.bilibili.com/video/BV19D4y1j7Cu/
女毒贩被捕审讯时，竟说出如此毁三观的话（江苏南京禁毒）,希曼的新冒险,· 2022-11-07,14.4万,//www.bilibili.com/video/BV1Ye4y117pa/
【创造101杨超越】江苏盐城家乡话你听过没？可带劲儿了！比说普通话还可爱！,飞龙在不在天,· 2018-06-20,13.6万,//www.bilibili.com/video/BV1jW411c7Z6/
11月17日，江苏苏州，6岁男孩哄4个月大的弟弟玩，弟弟突然说出人生第一句话，哥哥听到直接呆住,比第一名多了个点,· 2023-11-20,13.4万,//www.bilibili.com/video/BV1Ju4y1w7ed/
中国最难懂江苏话：南京淮安话超好听，盐城扬州话一句都听不懂！,娱圈小迷妹,· 2022-11-26,13万,//www.bilibili.com/video/BV1xG4y157sX/
全中国最难懂江苏话，南京话好酥难懂，苏州无锡话一句都听不懂！,糖罐子娱乐,· 2023-04-06,12.1万,//www.bilibili.com/video/BV1NV4y1D7Dm/
如何一句话惹毛江苏十三太保,小余动画日记,· 2022-08-08,11.1万,//www.bilibili.com/video/BV1QB4y1t7fj/
篮协终是心软了！堵死苏沪两队申诉通道，但罚单中的一句话放了一马,愿球所期,· 2023-04-17,11.1万,//www.bilibili.com/video/BV1ZV4y1Z7xv/
江苏足协副主席电话被打爆“我这儿也没门票了，非常抱歉”，场均观众超1.5万人，球队互放狠话玩梗不断,环球网,· 06-04,10.9万,//www.bilibili.com/video/BV13o7qzDEgk/
1~28课《江苏无锡话口语教程_初阶》Mr. Moustafa配音,语言狂魔Mark,· 2023-03-19,10.6万,//www.bilibili.com/video/BV1ZL411R7er/
【张极】张极的重庆话怪标准的嘞，别忘了你是个江苏人,极宝贝的柿子,· 2023-07-09,10.2万,//www.bilibili.com/video/BV1Ck4y1K7F2/
我 是 江 苏 的,星汐Seki,· 2022-05-22,10万,//www.bilibili.com/video/BV1aR4y1w7hw/
